2026-02-20 00:22:07,213 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_parse_fields0\test.blast6
2026-02-20 00:22:07,224 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_identity_filter0\test.blast6
2026-02-20 00:22:07,224 | alignment.wrapper              | INFO     | Filtered to 2 / 3 hits (identity>=70.0%, coverage>=0.0%)
2026-02-20 00:22:07,236 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_coverage_filter0\test.blast6
2026-02-20 00:22:07,237 | alignment.wrapper              | INFO     | Filtered to 2 / 3 hits (identity>=0.0%, coverage>=60.0%)
2026-02-20 00:22:07,247 | alignment.wrapper              | INFO     | Parsed 3 hits from C:\Users\38099\AppData\Local\Temp\pytest-of-38099\pytest-1\test_combined_filter0\test.blast6
2026-02-20 00:22:07,247 | alignment.wrapper              | INFO     | Filtered to 1 / 3 hits (identity>=90.0%, coverage>=60.0%)
2026-02-20 00:22:07,251 | alignment.wrapper              | INFO     | Filtered to 0 / 0 hits (identity>=70.0%, coverage>=50.0%)
2026-02-20 00:22:07,871 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:08,110 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:08,600 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:08,664 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:09,319 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:09,379 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:09,897 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:09,957 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:10,541 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:10,714 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:11,809 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:11,921 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:12,531 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:13,893 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:13,915 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:13,916 | classifier.pathogenicity       | INFO     | Comparison complete: 4 categories across samples 1 vs 1
2026-02-20 00:22:14,350 | classifier.pathogenicity       | INFO     | PathogenicityClassifier initialised
2026-02-20 00:22:14,432 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
2026-02-20 00:22:14,486 | classifier.pathogenicity       | INFO     | Classified sample_id=1 into 4 categories
